field_1,Codigo,Linea,Nombre,Latitude,Longitud,No_Lineas,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,geometry
1,101-1,101,Monterrey y Garmendia,29.078525,-110.954248,2,101,102,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.954248 29.078525)
2,501-47,501,Calle Garmendia y AV Dr. Alberto G Noriega,29.07992189,-110.9547236,8,501,101,102,1001,1002,1602,1902,902,0,0,0,NA,NA,NA,POINT (-110.9547236 29.07992189)
3,102-3,102,Garmendia y oaxaca,29.082563,-110.955281,6,102,501,1001,1002,1902,101,0,0,0,0,0,NA,NA,NA,POINT (-110.955281 29.082563)
4,101-4,101,Blvd. Luis Encinas y Pino Suarez,29.084578,-110.957564,9,101,102,501,1001,1002,1602,1702,601,1601,0,0,NA,NA,NA,POINT (-110.957564 29.084578)
5,401-82,401,blvd. Luiis encinas,29.086463,-110.962878,5,401,101,102,1001,1002,0,0,0,0,0,0,NA,NA,NA,POINT (-110.962878 29.086463)
6,501-52,501,Blvd Luis Encinas,29.088055,-110.964906,2,501,101,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.964906 29.088055)
7,101-7,101,Blvd. Luis Encinas y Monte Verde,29.089543,-110.968326,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.968326 29.089543)
8,101-8,101,12 de Octubre / Blvd. Luis Encinas y veracruz,29.091355,-110.971147,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.971147 29.091355)
9,601-116,601,Nayarit Gandara,29.092648,-110.97427,2,601,101,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.97427 29.092648)
10,101-10,101,Olivares y Aguacalientes,29.093144,-110.97747,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.97747 29.093144)
11,101-11,101,Olivares y Campeche,29.096303,-110.977947,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.977947 29.096303)
12,101-12,101,Olivares y J.S.Healy,29.099142,-110.978455,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.978455 29.099142)
13,1002-18,1002,Calle Jose Carmelo  / Guillermo Arreola,29.10055,-110.979732,3,1002,101,1501,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.979732 29.10055)
14,1002-19,1002,Calle Jose Carmelo  / Agua Zarca,29.100248,-110.982235,3,1002,101,1501,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.982235 29.100248)
15,1002-20,1002,Calle Jose Carmelo  / Calle Jose Obregon,29.099926,-110.984688,2,1002,101,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.984688 29.099926)
16,1501-133,1501,Calle Jose Carmelo Y Calle Adalberto Truqui,29.099687,-110.986698,2,1501,101,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.986698 29.099687)
17,1002-21,1002,Calle Jose Carmelo  / Calle Soyopa,29.099297,-110.990027,3,1002,101,1501,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.990027 29.099297)
18,101-18,101,Solidaridad /Jose Carmelo Y J.S. Healy,29.098397,-110.992469,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.992469 29.098397)
19,101-20,101,Blvd. Garcia Morales y Sollidaridad,29.094189,-110.99359,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.99359 29.094189)
20,101-21,101,Blvd.Garcia Morales y Republica de Cuba,29.094612,-111.003334,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.003334 29.094612)
21,101-22,101,Blvd.Garcia Morales y Quintero Arce,29.09473,-111.006121,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.006121 29.09473)
22,101-23,101,Blvd.Garcia Morales y Juan de Dios Bojorquez,29.094936,-111.009522,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.009522 29.094936)
23,101-24,101,Blvd.Garcia Morales y Angel Arreola,29.095074,-111.013596,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.013596 29.095074)
24,101-25,101,Blvd.Garcia Morales y lazaro Mercado,29.095312,-111.016629,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.016629 29.095312)
25,101-27,101,Blvd. Quiroga y Blvd. Juan Bautista y Ramon Lopez,29.099987,-111.024221,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.024221 29.099987)
26,101-29,101,Ramon Lopez y Agustin del Campo,29.099538,-111.027174,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.027174 29.099538)
27,101-30,101,Blvd. Garcia Morales  y Agustin del Campo,29.094519,-111.029083,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.029083 29.094519)
28,101-31,101,Blvd. Garcia Morales,29.093785,-111.031809,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.031809 29.093785)
29,101-33,101,Blvd. Garcia Morales,29.090339,-111.045403,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.045403 29.090339)
30,101-34,101,Blvd. Garcia Morales y Aviacion,29.089065,-111.045312,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.045312 29.089065)
31,101-35,101,Concord y Aeropuerto,29.088714,-111.04672,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.04672 29.088714)
32,101-36,101,Concord y Tercera,29.088135,-111.049086,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.049086 29.088135)
33,101-37,101,Calle del Jet y Garcia Morales,29.088572,-111.051298,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.051298 29.088572)
34,101-38,101,Blvd. Garcia Morales/tercera y fuerza aerea,29.089217,-111.048725,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.048725 29.089217)
35,101-39,101,Blvd. Garcia Morales/Fuerza aerea y aeropuerto,29.08954,-111.04748,1,101,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-111.04748 29.08954)
